Time,1,2,3,4
0.000000,-6188.751005,-11119.915380,-53212.482120,-200000.000000
0.004029,-6142.164009,-11081.100831,-53355.676336,-200000.000000
0.008058,-6167.436381,-11099.316013,-53560.859389,-200000.000000
0.012087,-6255.794317,-11180.426023,-53542.691892,-200000.000000
0.016115,-6199.003005,-11130.930320,-53392.106699,-200000.000000
0.020144,-6199.718261,-11132.646934,-53391.486811,-200000.000000
0.024173,-6200.242782,-11132.742302,-53385.526345,-200000.000000
0.028202,-6197.095656,-11130.787269,-53379.422829,-200000.000000
0.032231,-6195.045256,-11130.310432,-53378.802941,-200000.000000
0.036260,-6195.426726,-11130.644218,-53380.901024,-200000.000000
0.040289,-6194.520735,-11130.262748,-53381.568597,-200000.000000
0.044318,-6194.616103,-11129.881278,-53383.857415,-200000.000000
0.048346,-6198.526168,-11132.742302,-53388.721155,-200000.000000
0.052375,-6200.338149,-11135.269539,-53391.820597,-200000.000000
0.056404,-6200.767303,-11135.841743,-53392.774271,-200000.000000
0.060433,-6202.007079,-11135.221855,-53393.537211,-200000.000000
0.064462,-6202.770019,-11135.412590,-53394.967722,-200000.000000
0.068491,-6200.624251,-11132.933036,-53394.538569,-200000.000000
0.072520,-6196.904921,-11128.832236,-53392.965006,-200000.000000
0.076548,-6195.569777,-11128.260032,-53392.011332,-200000.000000
0.080577,-6195.903563,-11129.595176,-53393.155741,-200000.000000
0.084606,-6197.334075,-11131.073371,-53395.921397,-200000.000000
0.088635,-6197.238707,-11131.645576,-53396.541285,-200000.000000
0.092664,-6196.046614,-11131.359474,-53395.158457,-200000.000000
0.096693,-6195.712828,-11131.645576,-53393.298792,-200000.000000
0.100722,-6196.618819,-11131.693260,-53393.394159,-200000.000000
0.104750,-6197.047972,-11130.596534,-53393.537211,-200000.000000
0.108779,-6198.240065,-11130.930320,-53396.732020,-200000.000000
0.112808,-6201.720977,-11133.028404,-53398.782420,-200000.000000
0.116837,-6203.485275,-11132.980720,-53398.830104,-200000.000000
0.120866,-6202.626968,-11131.788627,-53398.877787,-200000.000000
0.124895,-6201.530242,-11131.836311,-53398.400950,-200000.000000
0.128924,-6202.770019,-11133.552925,-53399.926829,-200000.000000
0.132953,-6202.579284,-11134.506599,-53401.881862,-200000.000000
0.136981,-6202.245498,-11136.175530,-53405.362774,-200000.000000
0.141010,-6203.580642,-11139.084237,-53405.744243,-200000.000000
0.145039,-6204.057479,-11140.800850,-53409.797360,-200000.000000
0.149068,-6204.200531,-11139.370339,-53410.131146,-200000.000000
0.153097,-6204.677368,-11138.750450,-53412.324597,-200000.000000
0.157126,-6206.823135,-11138.798134,-53415.996243,-200000.000000
0.161155,-6206.966186,-11137.129204,-53419.095685,-200000.000000
0.165183,-6207.395340,-11135.794060,-53419.191053,-200000.000000
0.169212,-6209.207321,-11138.178246,-53422.815016,-200000.000000
0.173241,-6210.447098,-11139.370339,-53424.007109,-200000.000000
0.177270,-6209.636475,-11138.368981,-53421.241453,-200000.000000
0.181299,-6210.351731,-11139.751809,-53423.291853,-200000.000000
0.185328,-6209.731842,-11140.085595,-53425.199202,-200000.000000
0.189357,-6206.393982,-11138.225930,-53424.674681,-200000.000000
0.193385,-6202.913070,-11136.795418,-53424.197844,-200000.000000
0.197414,-6202.770019,-11136.700050,-53424.579313,-200000.000000
0.201443,-6202.817703,-11135.507957,-53423.482588,-200000.000000
0.205472,-6203.056121,-11136.175530,-53423.625639,-200000.000000
0.209501,-6203.771377,-11137.796776,-53425.866774,-200000.000000
0.213530,-6206.250931,-11137.749092,-53425.628355,-200000.000000
0.217559,-6210.017945,-11139.179604,-53425.580671,-200000.000000
0.221588,-6208.635117,-11138.416664,-53424.913099,-200000.000000
0.225616,-6205.583358,-11134.697334,-53423.482588,-200000.000000
0.229645,-6204.105163,-11131.979362,-53422.195127,-200000.000000
0.233674,-6201.482558,-11130.548850,-53423.816374,-200000.000000
0.237703,-6194.043898,-11127.067939,-53426.438978,-200000.000000
0.241732,-6192.184233,-11124.540701,-53425.532988,-200000.000000
0.245761,-6192.374968,-11124.922171,-53427.726439,-200000.000000
0.249790,-6189.037107,-11122.347250,-53426.772765,-200000.000000
0.253818,-6189.847730,-11122.442618,-53427.440337,-200000.000000
0.257847,-6190.801405,-11122.204199,-53425.580671,-200000.000000
0.261876,-6190.515302,-11123.539343,-53428.727797,-200000.000000
0.265905,-6191.325926,-11123.968497,-53428.489379,-200000.000000
0.269934,-6192.851805,-11124.636069,-53427.583388,-200000.000000
0.273963,-6192.374968,-11123.634711,-53425.485304,-200000.000000
0.277992,-6194.043898,-11126.352683,-53428.394011,-200000.000000
0.282020,-6194.949889,-11127.067939,-53430.730513,-200000.000000
0.286049,-6195.188307,-11127.258674,-53432.971648,-200000.000000
0.290078,-6196.046614,-11126.877204,-53436.166458,-200000.000000
0.294107,-6197.667861,-11127.401725,-53438.979797,-200000.000000
