Time,1,2,3,4
0.000000,-5681.205473,-36259.822400,-27974.537370,-200000.000000
0.004034,-5680.013380,-36269.645246,-27969.482895,-200000.000000
0.008068,-5686.164580,-36275.319609,-27975.204942,-200000.000000
0.012103,-5689.168655,-36266.259702,-27979.639528,-200000.000000
0.016137,-5684.924803,-36267.070325,-27976.253984,-200000.000000
0.020171,-5685.497008,-36267.070325,-27976.206300,-200000.000000
0.024205,-5688.262664,-36265.306028,-27977.922914,-200000.000000
0.028240,-5688.644134,-36261.872800,-27977.112291,-200000.000000
0.032274,-5687.642775,-36261.872800,-27976.349351,-200000.000000
0.036308,-5687.356673,-36265.496762,-27977.112291,-200000.000000
0.040342,-5687.928878,-36267.642530,-27979.067323,-200000.000000
0.044376,-5686.355315,-36270.265135,-27979.877946,-200000.000000
0.048411,-5686.021529,-36269.073042,-27981.070039,-200000.000000
0.052445,-5684.734068,-36265.496762,-27980.402467,-200000.000000
0.056479,-5684.400282,-36261.062176,-27977.732179,-200000.000000
0.060513,-5683.255873,-36257.867367,-27974.298951,-200000.000000
0.064548,-5683.971129,-36255.340130,-27972.916123,-200000.000000
0.068582,-5682.826720,-36256.150753,-27971.151825,-200000.000000
0.072616,-5684.114180,-36258.344204,-27970.913407,-200000.000000
0.076650,-5681.491575,-36259.488614,-27969.101425,-200000.000000
0.080684,-5680.490217,-36259.917767,-27967.957016,-200000.000000
0.084719,-5678.678236,-36258.010418,-27965.668197,-200000.000000
0.088753,-5679.298124,-36256.055386,-27963.713165,-200000.000000
0.092787,-5677.962980,-36254.100353,-27961.853500,-200000.000000
0.096821,-5679.822645,-36252.574474,-27963.188644,-200000.000000
0.100856,-5678.296766,-36250.047237,-27963.188644,-200000.000000
0.104890,-5676.770887,-36249.951869,-27963.427062,-200000.000000
0.108924,-5676.246366,-36251.811534,-27965.763565,-200000.000000
0.112958,-5677.772245,-36252.669841,-27967.146393,-200000.000000
0.116992,-5677.438459,-36252.193004,-27967.003342,-200000.000000
0.121027,-5679.155073,-36252.765209,-27967.480179,-200000.000000
0.125061,-5680.013380,-36253.861934,-27967.432495,-200000.000000
0.129095,-5681.014738,-36253.718883,-27967.337128,-200000.000000
0.133129,-5680.537901,-36255.626232,-27968.004700,-200000.000000
0.137163,-5680.490217,-36256.913693,-27968.433853,-200000.000000
0.141198,-5681.682310,-36258.391888,-27969.912049,-200000.000000
0.145232,-5680.490217,-36259.488614,-27969.006058,-200000.000000
0.149266,-5679.584227,-36257.724316,-27967.337128,-200000.000000
0.153300,-5679.202757,-36253.480465,-27965.286728,-200000.000000
0.157335,-5678.439817,-36249.618083,-27962.473388,-200000.000000
0.161369,-5677.724561,-36247.758418,-27960.470672,-200000.000000
0.165403,-5681.491575,-36247.758418,-27964.285369,-200000.000000
0.169437,-5685.258589,-36255.673916,-27973.774430,-200000.000000
0.173471,-5690.742217,-36265.210660,-27987.411974,-200000.000000
0.177506,-5699.563706,-36276.940856,-28006.437779,-200000.000000
0.181540,-5706.716264,-36289.386307,-28026.321891,-200000.000000
0.185574,-5711.961473,-36297.301805,-28041.246896,-200000.000000
0.189608,-5715.585436,-36298.923051,-28047.302729,-200000.000000
0.193643,-5713.821139,-36296.729600,-28044.441705,-200000.000000
0.197677,-5708.957399,-36290.149246,-28034.428124,-200000.000000
0.201711,-5704.141343,-36280.183349,-28019.217017,-200000.000000
0.205745,-5697.227204,-36271.457228,-28005.007268,-200000.000000
0.209779,-5690.265380,-36264.876874,-27993.849277,-200000.000000
0.213814,-5686.259948,-36261.395962,-27988.127230,-200000.000000
0.217848,-5684.591017,-36259.727032,-27984.312532,-200000.000000
0.221882,-5681.539259,-36259.870083,-27982.071398,-200000.000000
0.225916,-5682.492934,-36261.491330,-27980.640886,-200000.000000
0.229951,-5685.020171,-36262.921841,-27980.593202,-200000.000000
0.233985,-5686.021529,-36262.397321,-27978.828904,-200000.000000
0.238019,-5684.114180,-36262.301953,-27976.301667,-200000.000000
0.242053,-5686.641417,-36260.871441,-27975.872514,-200000.000000
0.246087,-5684.209548,-36257.247479,-27973.726746,-200000.000000
0.250122,-5681.825361,-36256.198437,-27970.818039,-200000.000000
0.254156,-5682.016096,-36254.767925,-27968.767639,-200000.000000
0.258190,-5685.401641,-36253.480465,-27968.195435,-200000.000000
0.262224,-5685.973845,-36253.337413,-27967.146393,-200000.000000
0.266259,-5687.261306,-36253.480465,-27966.764923,-200000.000000
0.270293,-5689.454757,-36253.242046,-27968.529221,-200000.000000
0.274327,-5692.268096,-36255.197079,-27970.579621,-200000.000000
0.278361,-5696.178162,-36258.821041,-27973.726746,-200000.000000
0.282395,-5699.992859,-36262.254269,-27976.015565,-200000.000000
0.286430,-5705.047334,-36267.261060,-27980.307100,-200000.000000
0.290464,-5708.909715,-36270.741972,-27982.357500,-200000.000000
0.294498,-5713.773455,-36274.413618,-27983.740328,-200000.000000
0.298532,-5718.446460,-36276.607070,-27986.649035,-200000.000000
0.302567,-5723.882404,-36279.801879,-27991.274356,-200000.000000
0.306601,-5731.178013,-36282.710586,-27994.946002,-200000.000000
0.310635,-5738.282888,-36287.526642,-27997.759342,-200000.000000
0.314669,-5743.957251,-36289.529358,-28001.192570,-200000.000000
0.318703,-5747.724265,-36292.867219,-28004.148961,-200000.000000
0.322738,-5751.205176,-36295.537507,-28005.627156,-200000.000000
0.326772,-5754.209251,-36297.921693,-28007.582189,-200000.000000
0.330806,-5757.165641,-36297.826326,-28010.347844,-200000.000000
0.334840,-5758.167000,-36298.207795,-28011.444570,-200000.000000
0.338874,-5757.261009,-36298.923051,-28011.301519,-200000.000000
0.342909,-5757.690162,-36299.733674,-28013.590337,-200000.000000
0.346943,-5755.973548,-36299.352205,-28013.828756,-200000.000000
0.350977,-5755.258293,-36300.115144,-28014.734747,-200000.000000
0.355011,-5754.686088,-36300.019777,-28013.924124,-200000.000000
0.359046,-5753.732413,-36297.444856,-28013.638021,-200000.000000
0.363080,-5751.395911,-36294.345414,-28011.921407,-200000.000000
0.367114,-5748.868674,-36291.913544,-28011.110784,-200000.000000
0.371148,-5745.578497,-36289.386307,-28009.871007,-200000.000000
0.375182,-5743.337362,-36291.389023,-28011.921407,-200000.000000
0.379217,-5741.382330,-36290.912186,-28013.018133,-200000.000000
0.383251,-5740.333288,-36292.104279,-28015.020849,-200000.000000
0.387285,-5741.811483,-36291.579758,-28017.595770,-200000.000000
0.391319,-5740.857809,-36289.243256,-28019.026282,-200000.000000
0.395354,-5740.714758,-36286.811386,-28019.646170,-200000.000000
0.399388,-5741.000860,-36288.146530,-28020.647528,-200000.000000
0.403422,-5740.333288,-36288.194214,-28021.601203,-200000.000000
0.407456,-5739.570348,-36289.958512,-28021.553519,-200000.000000
0.411490,-5739.618032,-36292.199646,-28021.791938,-200000.000000
0.415525,-5739.618032,-36292.485749,-28023.317817,-200000.000000
0.419559,-5738.616674,-36291.389023,-28023.270133,-200000.000000
0.423593,-5739.665716,-36291.675126,-28022.793296,-200000.000000
0.427627,-5739.236562,-36292.485749,-28022.936347,-200000.000000
0.431662,-5738.378255,-36291.198288,-28023.842338,-200000.000000
0.435696,-5736.518590,-36290.006195,-28021.791938,-200000.000000
0.439730,-5735.851018,-36289.815460,-28020.456793,-200000.000000
0.443764,-5733.371464,-36289.243256,-28020.027640,-200000.000000
