Time,1,2,3
0.000000,-4424.644044,-45768.099519,-28304.413355
0.004028,-4444.289737,-45813.923575,-28374.842212
0.008056,-4478.335914,-45836.716394,-28381.613300
0.012084,-4449.487263,-45808.153845,-28311.613597
0.016112,-4450.488621,-45811.396338,-28341.988127
0.020140,-4453.111226,-45812.397696,-28346.422714
0.024168,-4455.495412,-45805.388189,-28335.598509
0.028196,-4449.344212,-45798.617101,-28328.589002
0.032224,-4449.296528,-45801.144338,-28335.407774
0.036252,-4450.202519,-45798.617101,-28339.556258
0.040280,-4455.638463,-45809.584356,-28348.806900
0.044308,-4459.977682,-45825.272301,-28364.733263
0.048336,-4458.451803,-45828.467110,-28367.212816
0.052364,-4457.879598,-45823.317268,-28367.308184
0.056392,-4458.213384,-45824.890831,-28370.693728
0.060420,-4455.400044,-45821.028450,-28369.310900
0.064448,-4450.917775,-45810.013510,-28361.156984
0.068476,-4455.543096,-45813.303687,-28362.015291
0.072504,-4457.355077,-45817.642905,-28364.113374
0.076532,-4457.164342,-45822.888115,-28368.452593
0.080560,-4457.831914,-45825.653771,-28369.883105
0.084588,-4459.596212,-45827.513436,-28375.032946
0.088616,-4457.068975,-45823.126533,-28377.941653
0.092644,-4459.405477,-45826.607445,-28380.850360
0.096672,-4458.880956,-45819.884040,-28374.651477
0.100700,-4457.927282,-45815.592505,-28371.361300
0.104728,-4453.015858,-45809.727408,-28364.256425
0.108756,-4451.013142,-45807.533956,-28357.533021
0.112784,-4449.487263,-45806.866384,-28359.821839
0.116812,-4448.915058,-45804.196096,-28359.345002
0.120840,-4448.295170,-45803.719259,-28358.772797
0.124868,-4450.631672,-45813.112952,-28359.535737
0.128896,-4453.778798,-45815.401771,-28366.068407
0.132924,-4455.018575,-45814.114310,-28364.685579
0.136952,-4458.022649,-45820.933082,-28370.407625
0.140980,-4463.410910,-45825.033882,-28375.938937
0.145008,-4469.562110,-45830.326775,-28394.058751
0.149036,-4475.713310,-45839.958887,-28414.896538
0.153064,-4480.577049,-45842.056971,-28432.205729
0.157092,-4481.292305,-45846.634608,-28436.449580
0.161120,-4476.762352,-45836.382608,-28434.685282
0.165148,-4466.701086,-45828.848580,-28424.814752
0.169176,-4460.835989,-45818.262794,-28406.933356
0.173204,-4451.299244,-45805.435873,-28389.671849
0.177232,-4445.767933,-45792.656635,-28381.756351
0.181260,-4442.954593,-45799.856877,-28380.135105
0.185288,-4443.383747,-45794.373249,-28370.836779
0.189316,-4440.856509,-45783.835147,-28364.733263
0.193344,-4443.336063,-45784.168933,-28370.550677
0.197372,-4439.998202,-45778.732989,-28372.267291
0.201400,-4435.134463,-45772.772523,-28374.031588
0.205428,-4435.945086,-45767.098161,-28374.746844
0.209456,-4434.466891,-45773.487779,-28375.414416
0.213484,-4431.272081,-45775.013658,-28367.260500
